lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
Chipkarte,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Chipkarte
Coiffeur,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Coiffeur
Coiffeuse,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Coiffeuse
Couch,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Couch
Cousin,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Cousin
Cousine,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Cousine
Couvert,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Couvert
Dach,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dach
damit,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/damit#2
dankbar,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/dankbar
darstellen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/darstellen
Darstellung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Darstellung
Daten,N,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Daten
Dauer,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dauer
Decke,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Decke
dekorieren,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/dekorieren
Denkmal,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Denkmal
Dessert,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dessert
desto,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/desto
deswegen,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/deswegen
Detail,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Detail
Dialekt,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dialekt
Dialog,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dialog
dicht,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/dicht
Dieb,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dieb
dienen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/dienen
Dienst,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dienst
diesmal,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/diesmal
digital,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/digital
Diplom,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Diplom
Direktor,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Direktor
Direktorin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Direktorin
Diskothek,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Diskothek
Diskussion,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Diskussion
Distanz,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Distanz
Diät,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Di%C3%A4t
Doktorin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Doktorin
Dokument,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dokument
Donner,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Donner
donnern,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/donnern
doppelt,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/doppelt
Dose,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dose
Dreck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Dreck
drehen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/drehen
Droge,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Droge
Drogerie,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Drogerie
Druck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Druck#1
durcheinander,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/durcheinander
Durchschnitt,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Durchschnitt
durchschnittlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/durchschnittlich
durstig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/durstig
duzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/duzen
eben,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eben#2
ebenfalls,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ebenfalls
ebenso,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ebenso
EC-Karte,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/EC-Karte
Eck,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Eck
eckig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eckig
Ehe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ehe
Ehepaar,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ehepaar
ehrlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ehrlich
eignen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eignen#1
Eile,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Eile
eilen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eilen
Einbahnstraße,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einbahnstra%C3%9Fe
einbrechen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einbrechen
Einbrecher,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einbrecher
Einbrecherin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einbrecherin
Einbruch,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einbruch
eindeutig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eindeutig
Eindruck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Eindruck
einerseits,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einerseits
Einfahrt,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einfahrt
Einfall,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einfall
einfallen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einfallen
Einfluss,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einfluss
einfügen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einf%C3%BCgen
einführen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einf%C3%BChren
Einführung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einf%C3%BChrung
einheitlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einheitlich
einigen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einigen
Einkauf,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einkauf
Einkommen,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einkommen
Einnahme,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einnahme
einnehmen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einnehmen
einrichten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einrichten
Einrichtung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einrichtung
einsam,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einsam
einschalten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einschalten
einschließlich,Präp,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einschlie%C3%9Flich#1
Einschreiben,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einschreiben
einsetzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einsetzen
einstellen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einstellen
eintreten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eintreten
Einwohner,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einwohner
Einwohnerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einwohnerin
einzahlen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einzahlen
Einzahlung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einzahlung
Einzelheit,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Einzelheit
einzig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/einzig
Eisenbahn,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Eisenbahn
elegant,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/elegant
elektrisch,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/elektrisch
elektronisch,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/elektronisch
Empfang,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Empfang
empfangen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/empfangen
Empfehlung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Empfehlung
endgültig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/endg%C3%BCltig
Energie,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Energie
Enkel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Enkel
Enkelin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Enkelin
entdecken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entdecken
entfernen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entfernen
Entfernung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entfernung
entgegenkommen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entgegenkommen
enthalten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/enthalten
entlassen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entlassen
Entlassung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entlassung
entscheiden,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entscheiden
Entscheidung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entscheidung
entschließen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entschlie%C3%9Fen
entsorgen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entsorgen
entspannen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entspannen
enttäuschen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entt%C3%A4uschen
Enttäuschung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entt%C3%A4uschung
entweder,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entweder
entwickeln,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/entwickeln
Entwickelung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entwickelung
Entwicklung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Entwicklung
Erdapfel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erdapfel
Erde,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erde
ereignen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ereignen
Ereignis,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ereignis
erfahren,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erfahren#1
erfinden,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erfinden
Erfindung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erfindung
Erfolg,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erfolg
erfolgreich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erfolgreich
erforderlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erforderlich
erfordern,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erfordern
erfüllen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erf%C3%BCllen
ergänzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erg%C3%A4nzen
erhalten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erhalten
erholen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erholen
Erholung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erholung
erhöhen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erh%C3%B6hen
Erhöhung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erh%C3%B6hung
Erinnerung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erinnerung
erkennen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erkennen
Erklärung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erkl%C3%A4rung
erkundigen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erkundigen
erkälten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erk%C3%A4lten
Erkältung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erk%C3%A4ltung
erleben,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erleben
Erlebnis,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erlebnis
erledigen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erledigen
erleichtern,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erleichtern
ernst,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ernst
ernsthaft,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ernsthaft
Ernte,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ernte
ernähren,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ern%C3%A4hren
Ernährung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ern%C3%A4hrung
Ersatz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ersatz
erschrecken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erschrecken#1; https://www.dwds.de/wb/erschrecken#2
ersetzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ersetzen
erstellen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erstellen
erwarten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erwarten
erziehen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/erziehen
Erziehung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erziehung
Erzählung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Erz%C3%A4hlung
eröffnen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/er%C3%B6ffnen
Eröffnung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Er%C3%B6ffnung
Essig,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Essig
Etage,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Etage
etwa,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/etwa
eventuell,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/eventuell
ewig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/ewig
Experte,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Experte
Export,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Export
extra,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/extra
extrem,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/extrem
Fabrik,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fabrik
Fachfrau,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fachfrau
Fachleute,N,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fachleute
Fachmann,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fachmann
Fahrbahn,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fahrbahn
Fahrzeug,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fahrzeug
fair,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fair
Faktor,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Faktor
Fall,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fall#2
falls,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/falls
fangen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fangen
Fantasie,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fantasie
farbig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/farbig
Faschierte,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Faschierte
Fasching,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fasching
Fasnacht,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fasnacht
fassen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fassen
faulenzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/faulenzen
Fauteuil,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fauteuil
Feber,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Feber
Feld,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Feld
Fernbedienung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fernbedienung
Fernsehen,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fernsehen
Fernseher,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fernseher
fest,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fest
festhalten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/festhalten
festlegen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/festlegen
festnehmen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/festnehmen
Festplatte,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Festplatte
festsetzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/festsetzen
feststehen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/feststehen
feststellen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/feststellen
Fett,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fett
feucht,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/feucht
Feuerwehr,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Feuerwehr
Feuerzeug,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Feuerzeug
Figur,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Figur
finanziell,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/finanziell
finanzieren,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/finanzieren
Finger,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Finger
flach,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/flach
Fleck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fleck#1
Fleischhauer,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fleischhauer
flexibel,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/flexibel
fliehen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fliehen
fließen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/flie%C3%9Fen
Flucht,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Flucht#1
Flur,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Flur#1
Fläche,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fl%C3%A4che
Flöte,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fl%C3%B6te
Flüssigkeit,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Fl%C3%BCssigkeit
Folge,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Folge
folgen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/folgen
fordern,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/fordern
Forderung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Forderung
Form,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Form
